Objek,Kondisi,gemini-2.5-flash,,,gemini-3.1-pro-preview,,,qwen3.5:27b,,
,,keberhasilan,rata-rata latensi,rata-rata total token,keberhasilan,rata-rata latensi,rata-rata total token,keberhasilan,rata-rata latensi,rata-rata total token
Apar,Tergeletak di lantai,3/3,8.88,"2,099.00",3/3,19.91,"3,732.00",3/3,36.64,"5,383.00"
Apar,Selang tidak menemepel pada klip,0/3,8.22,"2,132.00",3/3,20.32,"3,722.00",1/3,47.83,"6,194.00"
Apar,Normal,3/3,11.38,"2,283.00",3/3,21.68,"3,804.00",2/3,38.34,"5,413.00"
Stop Kontak,Steker dengan kabel putus,2/3,09.02,"1,782.00",3/3,17.68,"2,988.00",2/3,27.13,"4,401.00"
Stop Kontak,Normal,3/3,7.82,"1,744.00",3/3,15.32,"2,904.00",3/3,23.43,"4,104.00"
Stop Kontak,Steker Normal,3/3,8.98,"1,784.00",3/3,15.45,"3,010.00",3/3,32.98,"4,792.00"
Tong Sampah,Hanya dua tong sampah,3/3,9.35,"1,952.00",3/3,19.51,"3,117.00",3/3,36.94,"5,119.00"
Tong Sampah,Normal,3/3,11.31,"2,087.00",3/3,22.72,"3,221.00",3/3,41.96,"5,474.00"
Tong Sampah,Sampah Berserakan,3/3,11.65,"1,959.00",3/3,21.19,"3,172.00",3/3,32.38,"4,755.00"
,,,,,,,,,,
Rata-rata,,,9.62,"1,980.22",,19.31,"3,296.67",,35.29,"5,070.56"
Persentase,,85.19%,,,100.00%,,,85.19%,,
