Jenis Tool,Level,gemini-2.5-flash,,,gemini-3.1-pro-preview,,,qwen3.5:27b,,,,,,,,
,,keberhasilan,rata-rata latensi,rata-rata total token,keberhasilan,rata-rata latensi,rata-rata total token,keberhasilan,rata-rata latensi,rata-rata total token,,,,,,
async_move,L1,3/3,1.54,1146,3/3,3.58,1152,3/3,"3,40",1603,,,,,,
async_move,L2,3/3,1.68,1134,3/3,"4,12",1143,3/3,"3,00",1632,,,,,,#DIV/0!
async_move,L3,3/3,1.65,1140,3/3,4.55,1147,2/3,"5,06",1734,,,,,,
async_navigate_to_waypoint,L1,3/3,1.60,1159,3/3,4.52,1152,3/3,"3,76",1584,,,,,,
async_navigate_to_waypoint,L2,3/3,"2,04",1184,3/3,"4,12",1179,3/3,"3,41",1664,,,,,,
async_navigate_to_waypoint,L3,3/3,1.84,1181,3/3,3.76,1196,3/3,"3,80",1637,,,,,,
capture_and_inspect_image,L1,3/3,1.74,1156,3/3,9.26,1166,3/3,"2,73",1652,,,,,,
capture_and_inspect_image,L2,3/3,"2,05",1155,3/3,"4,12",1165,1/3,"3,43",1620,,,,,,
capture_and_inspect_image,L3,3/3,1.93,1152,3/3,"5,12",1162,3/3,"4,04",1647,,,,,,
get_object_waypoints,L1,3/3,1.43,1125,3/3,3.00,1142,3/3,"2,72",1526,,,,,,
get_object_waypoints,L2,3/3,1.69,1131,3/3,3.93,1140,3/3,"4,39",1543,,,,,,
get_object_waypoints,L3,3/3,1.83,1134,3/3,4.25,1147,3/3,"3,34",1566,,,,,,
get_sop_file,L1,3/3,1.64,1130,3/3,2.68,1138,3/3,"1,94",1517,,,,,,
get_sop_file,L2,3/3,"2,01",1126,3/3,2.96,1134,3/3,"2,14",1546,,,,,,
get_sop_file,L3,3/3,1.86,1135,3/3,4.24,1135,3/3,"2,44",1517,,,,,,
look_up_down,L1,3/3,1.51,1147,3/3,3.80,1152,3/3,"2,01",1603,,,,,,
look_up_down,L2,3/3,3.66,1138,3/3,6.57,1145,3/3,"2,17",1665,,,,,,
look_up_down,L3,0/3,2.68,1190,2/3,7.36,1168,1/3,"2,23",1650,,,,,,
say_hello,L1,3/3,1.46,1096,3/3,3.14,1104,3/3,"3,46",1484,,,,,,
say_hello,L2,3/3,1.25,1096,3/3,2.86,1104,3/3,"1,83",1481,,,,,,
say_hello,L3,3/3,1.76,1105,3/3,5.84,1105,2/3,"2,95",1567,,,,,,
toggle_sit_stand,L1,3/3,1.57,1118,3/3,"3,05",1125,3/3,"2,15",1523,,,,,,
toggle_sit_stand,L2,3/3,1.53,1117,3/3,2.92,1124,3/3,"2,00",1558,,,,,,
toggle_sit_stand,L3,1/3,1.70,1129,3/3,3.69,1138,1/3,"2,74",1573,,,,,,
,,,,,,,,,,,,,,,,
Rata-rata,,,"2,033333333","1138,5",,"4,106","1144,291667",,"2,96","1587,166667",,,,,,
Persentase,,"93,06%",,,"98,61%",,,"88,89%",,,,,,,,
